221; Kirilänkodi; дом
222; Lumbahg’är’v; озеро
223; Korkotai; ручей
224; По Дороге В Тамбицы; угодье
225; Kol’l’ovann’em’; поле
226; Goroi; урочище
227; T’itasar’enbarbik; лес
228; Большое поле; угодье
229; Подгора; болото
230; Федотова поляна; угодье
231; Savoja; ручей
232; Майновка; угодье
233; Каменка; угодье
234; Линдомская Дорога; угодье
235; Roudmad; урочище
236; Песьянская поляна; угодье
237; Мельничная полянка; неизвестно
Ср. уроч. За мельницей [ГИА;  ф.380; угодье
238; Ruogoižikko; угодье
239; Vas’koo; урочище
240; Rusttadm’ägi; деревня
241; Juustoišuara; река
243; Mar’ksohut; болото
244; Hoteinkuopien peldo; угодье
245; Skorn’akod; поле
246; Kanghad; урочище
247; Maliinit; покос
248; Rovad; покос
249; Rajakonpellot; угодье
250; Kiškinso; болото
251; Futorpüud; поле
252; K’andašn’it; покос
253; Leskenpuu; угодье
254; Kalinovo; урочище
255; Pitkanit; покос
256; Матковские пожни; угодье
257; Vandezojaženp’eed; поле
258; Tanazpeed; поле
260; Корытово; деревня
261; Кетовская поляна; угодье
262; Савиновщина; неизвестно
263; Iibinrandu; участок
264; Honk; покос
265; Наволок; мыс
266; Плешкова Сельга; угодье
267; Берег; урочище
268; Ближние Смольки; остров
269; Šoudso; болото
270; Kor’bkar; залив
271; Летнее поле; угодье
273; Spirkamägi; покос
274; Čotčoilanlamminsuo; болото
275; Mat’unkor’b; урочище
276; Ivadg’är’v; озеро
277; Подлетняя поляна; угодье
278; S’ärg’ärvent’e; дорога
279; Средний Остров; урочище
280; Северное поле; угодье
281; D’er’oonahn’e trašojantaga; урочище
282; Красное поле; угодье
284; Sidoroja; ручей
287; Lad’jär’vmägi; гора
288; Половинной бор; лес
289; Высокая Нива; деревня
290; Kuz’manrinde; угодье
292; Черный Наволок; мыс
293; Вессоновская поляна; угодье
294; N’uš; ручей
295; Mel’n’icbong; омут
296; Poh’g’ažad’g’; хутор
297; Ojaaženn’it’; покос
298; Котков Мост; угодье
299; Зиминской бор; лес
300; Kujant’e; дорога
301; Voudikso; болото
302; Каменка; угодье
303; Укошельга; угодье
304; Виговский крест; крест
305; Гладкое болото; болото
306; Selgammägi; неизвестно
307; Зачисть; угодье
308; Zavodain’e; гора
309; Tagič; урочище
310; Bilistou; урочище
311; Sernatjärv; озеро
312; S’ür’g’ämägi; гора
314; Узкие Сельги; угодье
315; Šalg’är’v; озеро
316; Gagarsiid; мост
317; Titjär’v; озеро
319; Kalirandkočk; залив
320; Каменный ручей; ручей
321; Sur’bonk; омут
323; Šidroja; покос
324; Горелый бор; лес
325; Bungummel’nic; участок
326; Zavod; участок
327; Витчельга; гора
328; Кузьминщина; угодье
329; D’er’oon’jär’v; озеро
330; Ristn’it; покос
331; Huabusellänniittü; угодье
332; Замельничье; угодье
333; Rogamägi; деревня
334; Колмовщина; угодье
335; Средний остров; остров
336; Ложки; неизвестно
337; Коргубская Орга; угодье
338; Синухи; угодье
339; Пичемский ручей; ручей
340; Kangahan peskuhaudu; яма
341; Мягкая полоса; угодье
342; Тереба; угодье
343; Natkant’e; дорога
344; Virinski palansar’; остров
345; Turžinskijadhoumhed; нива
346; Песковатица; угодье
347; Пичахнива; угодье
348; Пегрем; угодье
349; Вальгестров; остров
350; Niisel’l’ančasounu; часовня
351; Юршинская Гора; хутор
352; Uuzipeldo; угодье
353; Кривое Пенье; угодье
354; Kupinkarzikoi; угодье
355; Бабий бор; лес
356; Sonituin’e; покос
357; S’änkäg’är’v; озеро
358; Ковгуба; залив
359; Laarunhazii; поле
360; Ивановщина; угодье
361; Kindazbonk; покос
362; Ближняя Нива; угодье
363; Тихая Бухта; залив
364; Serdzahoumeh; урочище
365; Makoipuust; деревня
366; Гусевская пожня; угодье
367; Tikankorb; урочище
368; Курней; угодье
369; Богородица 1; залив
370; Угловая полянка; угодье
372; Habosuo; болото
373; Mudar’v; озеро
374; Обод; угодье
375; Залазный остров; остров
376; Magi; поле
377; Комарий Угол; угодье
378; Пожний Кошель; угодье
379; Pečoinütud; покос
380; Тереба; угодье
381; Futorn’itud; покос
382; Grigso; болото
383; Пахомовщина; угодье
384; Rodinkaivo; колодец
386; Егловский Хвост; остров
387; Боровой ручей; ручей
388; Kl’ui; деревня
390; Kindasso; болото
391; Niemenoja; ручей
392; Верхний Угол; угодье
393; Melliččumäinrandu; река
394; Гомсельга; угодье
395; Южный родник; родник
396; Kost’ambonk; покос
397; Ермолинская поляна; угодье
398; Малиница; угодье
399; Itačoja; ручей
